ds,y
2018-02-01,21199.0
2018-02-02,10634.0
2018-02-03,7966.0
2018-02-04,1353.0
2018-02-05,9497.0
2018-02-06,8207.0
2018-02-07,7581.0
2018-02-08,7471.0
2018-02-09,7878.0
2018-02-10,5314.0
2018-02-11,1605.0
2018-02-12,9419.0
2018-02-13,9610.0
2018-02-14,6388.099999999999
2018-02-15,11799.0
2018-02-16,21437.100000000002
2018-02-17,19803.6
2018-02-18,2091.0
2018-02-19,18951.699999999997
2018-02-20,23779.6
2018-02-21,21844.7
2018-02-22,30774.0
2018-02-23,50480.9
2018-02-24,22024.3
2018-02-25,2694.5
2018-02-26,71351.6
2018-02-27,49382.8
2018-02-28,26444.8
2018-03-01,11460.699999999999
2018-03-02,58.9
2018-03-03,7891.7
2018-03-04,1644.1
2018-03-05,12868.3
2018-03-06,8871.2
2018-03-07,9836.0
2018-03-08,8065.599999999999
2018-03-09,8132.9
2018-03-10,5688.7
2018-03-11,1464.3
2018-03-12,10567.1
2018-03-13,9085.1
2018-03-14,9289.0
2018-03-15,11707.2
2018-03-16,22876.3
2018-03-17,7916.1
2018-03-18,2237.2000000000003
2018-03-19,15889.300000000001
2018-03-20,31675.5
2018-03-21,17075.399999999998
2018-03-22,23412.3
2018-03-23,25152.7
2018-03-24,16958.7
2018-03-25,2244.1
2018-03-26,41275.2
2018-03-27,46658.8
2018-03-28,43621.4
2018-03-29,33322.5
2018-03-30,31923.0
2018-03-31,46333.1
2018-04-01,6925.8
2018-04-02,8151.199999999999
2018-04-03,7110.8
2018-04-04,6902.099999999999
2018-04-05,4860.1
2018-04-06,4571.4
2018-04-07,4055.7
2018-04-08,898.2
2018-04-09,5045.7
2018-04-10,4678.6
2018-04-11,4115.9
2018-04-12,4487.7
2018-04-13,4155.599999999999
2018-04-14,2737.8999999999996
2018-04-15,1183.3
2018-04-16,6787.8
2018-04-17,8028.4
2018-04-18,8219.2
2018-04-19,9993.6
2018-04-20,14599.7
2018-04-21,10646.4
2018-04-22,2686.2
2018-04-23,27317.699999999997
2018-04-24,30021.8
2018-04-25,31605.1
2018-04-26,51020.7
2018-04-27,40783.0
2018-04-28,33812.5
2018-04-29,2742.3
2018-04-30,13708.199999999999
2018-05-01,22555.1
2018-05-02,17510.5
2018-05-03,14385.199999999999
2018-05-04,10783.4
2018-05-05,9082.2
2018-05-06,2155.4
2018-05-07,11129.2
2018-05-08,11417.9
2018-05-09,9016.7
2018-05-10,9672.3
2018-05-11,10282.1
2018-05-12,6648.799999999999
2018-05-13,2394.6
2018-05-14,11437.900000000001
2018-05-15,11221.5
2018-05-16,12807.5
2018-05-17,13519.7
2018-05-18,15955.9
2018-05-19,13321.1
2018-05-20,3063.1
2018-05-21,26437.2
2018-05-22,25371.5
2018-05-23,30711.1
2018-05-24,37159.0
2018-05-25,40921.4
2018-05-26,22755.9
2018-05-27,4650.7
2018-05-28,60733.8
2018-05-29,48357.0
2018-05-30,46485.9
2018-05-31,31337.2
2018-06-01,20578.7
2018-06-02,15753.7
2018-06-03,3489.7
2018-06-04,20776.7
2018-06-05,16229.600000000002
2018-06-06,27200.9
2018-06-07,14458.5
2018-06-08,11863.4
2018-06-09,8131.700000000001
2018-06-10,3696.8999999999996
2018-06-11,15733.9
2018-06-12,14364.2
2018-06-13,12811.400000000001
2018-06-14,14544.800000000001
2018-06-15,14289.8
2018-06-16,4233.900000000001
2018-06-17,3762.5
2018-06-18,22880.0
2018-06-19,28244.0
2018-06-20,28708.5
2018-06-21,27414.899999999998
2018-06-22,28589.9
2018-06-23,22627.5
2018-06-24,4520.2
2018-06-25,46469.5
2018-06-26,53220.4
2018-06-27,61963.5
2018-06-28,74489.5
2018-06-29,61894.799999999996
2018-06-30,41949.6
2018-07-01,5509.299999999999
2018-07-02,29805.5
2018-07-03,19645.600000000002
2018-07-04,16913.9
2018-07-05,17242.899999999998
2018-07-06,17157.3
2018-07-07,13316.7
2018-07-08,4665.9
2018-07-09,18687.2
2018-07-10,18009.399999999998
2018-07-11,15891.9
2018-07-12,18174.5
2018-07-13,15355.7
2018-07-14,12372.8
2018-07-15,4690.1
